age,gender,dress,wind_speed,BMI,height,RH,in_car_temperature,PMV,PPD,M,need_temperature,The_wind_type,wind_scale,direction
少年,女,夏装,中风,27.8,1.53,29.7,43.8,9.03,100,1.131944908,18.5,冷气,大风,中
老年,男,冬装,中风,25,1.82,65.2,5.6,-4.75,100,1.070274718,23.5,暖气,大风,中
少年,女,春秋装,低风,28.8,1.71,58.4,18.3,-2.37,90.4,1.088619084,25.5,暖气,低风,下
青年,男,夏装,大风,16.2,1.75,47.3,34.8,3.53,100,1.135581264,20.5,冷气,大风,中
中年,女,春秋装,大风,17,1.57,57.6,18.1,-4,100,0.994103465,21.5,暖气,大风,中
老年,女,冬装,中风,15.5,1.62,74.7,3.5,-6.42,100,0.937327914,24.5,暖气,大风,中
青年,女,夏装,大风,26.2,1.66,34.5,40.6,7.94,100,1.05548765,18.5,冷气,大风,中
童年,男,冬装,低风,15.8,1.41,56.3,13.5,-2.25,86.5,1.254868924,24,暖气,低风,下
童年,女,夏装,低风,25.9,1.46,40.3,27.1,-0.03,5,1.175095758,无,无,无,无
少年,男,夏装,无风,16.3,1.66,46.6,28.8,1.08,29.4,1.21268863,25.5,通风,低风,下
中年,男,冬装,低风,28.1,1.73,66.9,10.2,-3.46,99.9,1.126424236,24,暖气,大风,中
青年,女,冬装,无风,17.8,1.62,75.1,10.1,-2.85,98.3,1.065077418,23,暖气,中风,上
少年,男,春秋装,大风,24,1.8,52.5,21.4,-2.13,82.1,1.25617174,21.5,暖气,低风,下
童年,男,春秋装,中风,26.6,1.53,48.9,20,-2.19,84.5,1.294991453,21.5,暖气,低风,下
中年,女,夏装,无风,17.9,1.55,37.6,36.4,3.94,100,0.998920298,19.5,冷气,大风,中
青年,女,夏装,无风,19.3,1.74,51.2,26.2,0.09,5.2,1.0398517,无,无,无,无
青年,女,夏装,大风,26.4,1.7,35.9,34.3,3.04,99.3,1.048235822,20.5,冷气,大风,中
少年,男,夏装,大风,16,1.83,47,26.2,-1.12,31.4,1.209486437,无,无,无,无
中年,女,冬装,无风,20.7,1.65,69.8,10.2,-3.24,99.8,0.98509411,23.5,暖气,大风,中
老年,男,春秋装,无风,21.5,1.84,55.8,21.4,-1.02,27.1,1.042442808,无,无,无,无
少年,女,春秋装,无风,27.3,1.61,60.9,21.7,-0.79,18.2,1.111870533,无,无,无,无
老年,女,夏装,低风,27.4,1.66,46.6,24,-2.05,79,0.956337815,21.5,暖气,低风,下
童年,女,冬装,大风,24.2,1.45,58.7,11.2,-3.92,100,1.182057013,22.5,暖气,大风,中
中年,女,冬装,大风,16.2,1.71,74.1,10.8,-5.22,100,0.96904971,22.5,暖气,大风,中
童年,女,冬装,中风,15.8,1.61,67.4,1.8,-5.3,100,1.1468563,24.5,暖气,大风,中
童年,男,春秋装,无风,20.7,1.63,58.2,17.6,-1.43,46.9,1.266339383,无,无,无,无
